,year,pro_team_id,games_played,opponent_plays_perGame,opponent_pts_perGame,rush_yds_perGame,rush_tds_perGame,pass_yds_perGame,pass_tds_perGame,ints_perGame,completion_pct_allowed_perGame,pts_allowed_perGame,total_tds_perGame,opponent_plays_perGame_rank,opponent_pts_perGame_rank,rush_yds_perGame_rank,rush_tds_perGame_rank,pass_yds_perGame_rank,pass_tds_perGame_rank,ints_perGame_rank,completion_pct_allowed_perGame_rank,pts_allowed_perGame_rank,total_tds_perGame_rank,pass_def_rank,rush_def_rank,total_rank
53,2025,22,6,63.333333333333336,12.0,98.83333333333333,0.8333333333333334,257.5,1.1666666666666667,0.6666666666666666,0.6329113924050633,12.0,2.0,31.0,6.0,14.0,7.0,28.0,5.0,7.0,8.0,6.0,6.0,12.0,10.5,11.8
52,2025,21,6,61.166666666666664,15.0,129.16666666666666,1.3333333333333333,216.16666666666666,1.1666666666666667,0.5,0.5920398009950248,15.0,2.5,27.0,10.0,27.0,10.0,12.0,5.0,8.0,4.0,10.0,10.0,7.25,18.5,12.3
51,2025,20,6,57.333333333333336,16.0,129.0,0.6666666666666666,202.16666666666666,2.0,0.0,0.6488095238095238,16.0,2.6666666666666665,18.0,11.0,26.0,5.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,15.5,12.6
58,2025,27,6,56.5,15.0,91.0,0.8333333333333334,253.33333333333334,1.6666666666666667,0.6666666666666666,0.6834170854271358,15.0,2.5,15.0,10.0,10.0,7.0,25.0,10.0,7.0,22.0,10.0,10.0,16.0,8.5,12.6
56,2025,25,6,58.0,14.0,106.33333333333333,0.6666666666666666,222.5,1.6666666666666667,0.0,0.6787564766839378,14.0,2.3333333333333335,19.0,9.0,16.0,5.0,17.0,10.0,12.0,21.0,9.0,9.0,15.0,10.5,12.7
50,2025,19,6,59.833333333333336,14.0,119.5,1.1666666666666667,254.83333333333334,1.1666666666666667,0.6666666666666666,0.65625,14.0,2.3333333333333335,24.0,9.0,20.0,9.0,26.0,5.0,7.0,13.0,9.0,9.0,12.75,14.5,13.1
49,2025,18,6,55.833333333333336,18.0,106.33333333333333,0.6666666666666666,222.0,2.3333333333333335,0.5,0.6954022988505748,18.0,3.0,13.0,13.0,16.0,5.0,16.0,14.0,8.0,26.0,13.0,13.0,16.0,10.5,13.7
54,2025,23,6,63.166666666666664,14.0,105.66666666666667,0.6666666666666666,282.3333333333333,1.6666666666666667,0.8333333333333334,0.6582278481012658,14.0,2.3333333333333335,30.0,9.0,15.0,5.0,31.0,10.0,6.0,15.0,9.0,9.0,15.5,10.0,13.9
34,2025,3,5,52.8,20.4,140.0,0.8,211.2,2.6,1.4,0.7407407407407407,20.4,3.4,6.0,14.0,29.0,6.0,11.0,17.0,2.0,31.0,14.0,14.0,15.25,17.5,14.4
41,2025,10,6,58.5,18.0,133.0,1.8333333333333333,221.5,1.1666666666666667,0.6666666666666666,0.711111111111111,18.0,3.0,21.0,13.0,28.0,12.0,15.0,5.0,7.0,28.0,13.0,13.0,13.75,20.0,15.5
46,2025,15,6,57.0,17.0,154.33333333333334,1.0,233.83333333333334,1.8333333333333333,0.16666666666666666,0.7485714285714286,17.0,2.8333333333333335,17.0,12.0,31.0,8.0,20.0,11.0,11.0,32.0,12.0,12.0,18.5,19.5,16.6
35,2025,4,7,59.57142857142857,20.571428571428573,126.42857142857143,1.0,261.2857142857143,2.4285714285714284,1.1428571428571428,0.6866952789699571,20.571428571428573,3.4285714285714284,23.0,15.0,23.0,8.0,29.0,15.0,4.0,23.0,15.0,15.0,17.75,15.5,17.0
62,2025,33,6,62.166666666666664,23.0,124.66666666666667,1.5,251.5,2.3333333333333335,0.16666666666666666,0.6886792452830188,23.0,3.8333333333333335,28.0,17.0,22.0,11.0,24.0,14.0,11.0,24.0,17.0,17.0,18.25,16.5,18.5
37,2025,6,6,62.5,21.0,127.66666666666667,1.0,286.5,2.5,0.3333333333333333,0.7184466019417476,21.0,3.5,29.0,16.0,25.0,8.0,32.0,16.0,10.0,30.0,16.0,16.0,22.0,16.5,19.8
