,player_id,pro_team_id,year,period,stat_type,player_name,rush_attempts,yds_perCarry,rush_yds,rush_tds,rush_yds_perGame,rush_firstDowns,targets,receptions,yds_perRec,receiving_yds,receiving_tds,rec_yds_perGame,receiving_firstDowns,pass_attempts,completions,completion_pct,pass_yds,pass_tds,ints_thrown,games_played,pp.position,total_pass_attempts,total_rush_attempts,target_share,share_of_backfield,ypa
105,3912547,16,2024,Week 04,Actual Stats,Sam Darnold,7,2.14,15.00,0,15.00,2,0,0,0.00,0.00,0,0.00,0,28,20,71.430000,275.00,3,,1,QB,28.0,34,0.0,0.20588235294117646,9.821428571428571
106,3912547,16,2024,Week 04,Actual Stats,Sam Darnold,7,2.14,15.00,0,15.00,2,0,0,0.00,0.00,0,0.00,0,28,20,71.430000,275.00,3,,1,QB,28.0,18,0.0,0.3888888888888889,9.821428571428571
107,3912547,16,2024,Week 04,Actual Stats,Sam Darnold,7,2.14,15.00,0,15.00,2,0,0,0.00,0.00,0,0.00,0,28,20,71.430000,275.00,3,,1,QB,0.0,34,,0.20588235294117646,9.821428571428571
108,3912547,16,2024,Week 04,Actual Stats,Sam Darnold,7,2.14,15.00,0,15.00,2,0,0,0.00,0.00,0,0.00,0,28,20,71.430000,275.00,3,,1,QB,0.0,18,,0.3888888888888889,9.821428571428571
109,4036133,16,2024,Week 04,Actual Stats,T.J. Hockenson,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,0,TE,28.0,34,0.0,0.0,
110,4036133,16,2024,Week 04,Actual Stats,T.J. Hockenson,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,0,TE,28.0,18,0.0,0.0,
111,4036133,16,2024,Week 04,Actual Stats,T.J. Hockenson,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,0,TE,0.0,34,,0.0,
112,4036133,16,2024,Week 04,Actual Stats,T.J. Hockenson,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,0,TE,0.0,18,,0.0,
113,4242431,16,2024,Week 04,Actual Stats,Ty Chandler,3,1.67,5.00,0,5.00,0,1,1,8.00,8.00,0,8.00,0,0,0,0.000000,0.00,0,,1,RB,28.0,34,0.03571428571428571,0.08823529411764706,
114,4242431,16,2024,Week 04,Actual Stats,Ty Chandler,3,1.67,5.00,0,5.00,0,1,1,8.00,8.00,0,8.00,0,0,0,0.000000,0.00,0,,1,RB,28.0,18,0.03571428571428571,0.16666666666666666,
115,4242431,16,2024,Week 04,Actual Stats,Ty Chandler,3,1.67,5.00,0,5.00,0,1,1,8.00,8.00,0,8.00,0,0,0,0.000000,0.00,0,,1,RB,0.0,34,inf,0.08823529411764706,
116,4242431,16,2024,Week 04,Actual Stats,Ty Chandler,3,1.67,5.00,0,5.00,0,1,1,8.00,8.00,0,8.00,0,0,0,0.000000,0.00,0,,1,RB,0.0,18,inf,0.16666666666666666,
117,4262921,16,2024,Week 04,Actual Stats,Justin Jefferson,0,0.00,0.00,0,0.00,0,8,6,14.17,85.00,1,85.00,4,0,0,0.000000,0.00,0,,1,WR,28.0,34,0.2857142857142857,0.0,
118,4262921,16,2024,Week 04,Actual Stats,Justin Jefferson,0,0.00,0.00,0,0.00,0,8,6,14.17,85.00,1,85.00,4,0,0,0.000000,0.00,0,,1,WR,28.0,18,0.2857142857142857,0.0,
119,4262921,16,2024,Week 04,Actual Stats,Justin Jefferson,0,0.00,0.00,0,0.00,0,8,6,14.17,85.00,1,85.00,4,0,0,0.000000,0.00,0,,1,WR,0.0,34,inf,0.0,
120,4262921,16,2024,Week 04,Actual Stats,Justin Jefferson,0,0.00,0.00,0,0.00,0,8,6,14.17,85.00,1,85.00,4,0,0,0.000000,0.00,0,,1,WR,0.0,18,inf,0.0,
121,4382466,16,2024,Week 04,Actual Stats,Jalen Nailor,1,0.00,0.00,0,0.00,0,2,1,31.00,31.00,0,31.00,1,0,0,0.000000,0.00,0,,1,WR,28.0,34,0.07142857142857142,0.029411764705882353,
122,4382466,16,2024,Week 04,Actual Stats,Jalen Nailor,1,0.00,0.00,0,0.00,0,2,1,31.00,31.00,0,31.00,1,0,0,0.000000,0.00,0,,1,WR,28.0,18,0.07142857142857142,0.05555555555555555,
